cluster key,cluster set,cluster dhn,cluster nodes,cluster size,cluster type,cut ratio,ML input features,ML output features,mlp_v1_mae,mlp_v1_reg_mae,mlp_v2_mae,mlp_v2_reg_mae
test,1,4,"[39, 68, 84]",3,1-2,1.0,4,2,0.0980957901351657,0.0637002425670801,0.11029260201241023,2.2360530059542585
d,1,1,"[65, 43, 58, 59, 25, 24, 52, 14, 51]",9,1-0,0.1111111111111111,10,0,0.08574211768412505,0.01821966543166345,0.08168821933512851,0.07137412651491937
f,1,1,"[41, 27, 42, 26, 2, 3, 5, 4, 35, 28, 29, 53, 65, 43, 58, 59, 25, 24, 52, 14, 51, 13, 15, 23, 54, 55, 34]",27,1-0,0.037037037037037035,28,0,0.07657601448194297,2.6903489518777715,0.07694459429462155,0.05191109397559994
4-c,1,3,"[2, 3, 4, 36, 46, 50, 51, 52, 54, 55]",10,1-0,0.1,11,0,0.1145392225740697,0.024780231890725302,0.11065181807897119,0.09058522968290234
8-c,1,2,"[5, 6, 20]",3,1-0,0.3333333333333333,4,0,0.13680716535442086,2.9190289355881727,0.1282277422481476,0.12353602046551716
2-c,1,4,"[36, 38, 59, 86]",4,1-1,0.5,5,1,0.18134995702880502,0.04145499714483969,0.16920522502728746,0.16108775417478927
0-c,1,4,"[34, 35, 57, 58, 65, 85, 89]",7,1-1,0.2857142857142857,8,1,0.15378591225788185,4.066067253773239,0.15148329647191425,0.1375679983166937
2-c,2,4,"[41, 42, 58]",3,1-1,0.6666666666666666,4,1,0.28252056117358726,6.56600281403725,0.2658519060903829,0.25874804370298476
29-c,1,3,"[10, 27, 28, 37, 56]",5,1-1,0.4,6,1,0.14583632461513005,0.09212713066373081,0.14889914396478002,0.13354689122479554
8-c,2,4,"[17, 18, 43, 53]",4,2-1,0.75,6,1,8.299600182298901,0.42148771020802733,0.6233171918879313,4.5777059070841375
24-c,1,4,"[17, 18, 43, 53, 54, 87]",6,2-1,0.5,8,1,0.23804954122094554,0.19504170475455596,0.2384948312489621,1.8935703451154897
28-c,2,1,"[17, 18, 22, 36, 38, 44, 62]",7,2-1,0.42857142857142855,9,1,3.38627475488378,3.3168179312103425,0.17947813894617998,0.1881221055429053
8-c,2,2,"[8, 9, 10]",3,2-1,1.0,5,1,0.8471483453631802,0.4895325399046677,0.7790836649480292,0.7660191873673315
47-c,1,4,"[3, 51, 52, 67, 68, 71, 72, 79, 80, 84]",10,1-2,0.3,11,2,2.077681772246693,2.011703090194477,0.13345559842466137,2.06814212511798
2-c,2,2,"[3, 12, 13]",3,1-2,1.0,4,2,0.4076796068145693,0.14791048505416649,0.3914796468728051,1.3629231382079574
